transaction_ref,acct,txn_timestamp,amount,currency_code,geo_region,channel,status,risk_score
TRX-A9001,A-9001,2024-02-01T10:11:12Z,12000.75,USD,NorthAmerica,APP,OK,0.92
TRX-A9002,A-9002,2024-02-02T11:21:12Z,8900.00,USD,NorthAmerica,APP,OK,0.88
TRX-A9003,A-9003,2024-02-03T12:31:12Z,15.00,EUR,Europe,API,DECLINED,0.10
TRX-A9004,A-9004,2024-02-04T13:41:12Z,25000.00,USD,NorthAmerica,APP,OK,0.97
TRX-A9005,A-9005,2024-02-05T14:51:12Z,70.00,EUR,Europe,API,DECLINED,0.15
TRX-A9006,A-9006,2024-02-06T15:01:12Z,16500.25,USD,NorthAmerica,APP,OK,0.93
TRX-A9007,A-9007,2024-02-07T16:11:12Z,8.50,EUR,Europe,API,DECLINED,0.12
TRX-A9008,A-9008,2024-02-08T17:21:12Z,38000.00,USD,NorthAmerica,APP,OK,0.98
TRX-A9009,A-9009,2024-02-09T18:31:12Z,55.75,EUR,Europe,API,OK,0.20
TRX-A9010,A-9010,2024-02-10T19:41:12Z,19500.50,USD,NorthAmerica,APP,OK,0.94
TRX-A9011,A-9011,2024-02-11T20:51:12Z,35.00,EUR,Europe,API,DECLINED,0.18
TRX-A9012,A-9012,2024-02-12T21:01:12Z,32000.00,USD,NorthAmerica,APP,OK,0.96
TRX-A9013,A-9013,2024-02-13T22:11:12Z,78.25,EUR,Europe,API,OK,0.22
TRX-A9014,A-9014,2024-02-14T23:21:12Z,12500.00,USD,NorthAmerica,APP,OK,0.91
TRX-A9015,A-9015,2024-02-15T00:31:12Z,115.50,EUR,Europe,API,OK,0.25
TRX-A9016,A-9016,2024-02-16T01:41:12Z,45000.00,USD,NorthAmerica,APP,OK,0.99
TRX-A9017,A-9017,2024-02-17T02:51:12Z,22.00,EUR,Europe,API,DECLINED,0.14
TRX-A9018,A-9018,2024-02-18T03:01:12Z,21000.75,USD,NorthAmerica,APP,OK,0.95
TRX-A9019,A-9019,2024-02-19T04:11:12Z,68.00,EUR,Europe,API,OK,0.21
TRX-A9020,A-9020,2024-02-20T05:21:12Z,28500.25,USD,NorthAmerica,APP,OK,0.97
TRX-A9021,A-9021,2024-02-21T06:31:12Z,92.75,EUR,Europe,API,DECLINED,0.16
TRX-A9022,A-9022,2024-02-22T07:41:12Z,17500.50,USD,NorthAmerica,APP,OK,0.93
TRX-A9023,A-9023,2024-02-23T08:51:12Z,48.25,EUR,Europe,API,OK,0.19
TRX-A9024,A-9024,2024-02-24T09:01:12Z,36000.00,USD,NorthAmerica,APP,OK,0.98
TRX-A9025,A-9025,2024-02-25T10:11:12Z,105.75,EUR,Europe,API,OK,0.24
TRX-A9026,A-9026,2024-02-26T11:21:12Z,22500.25,USD,NorthAmerica,APP,OK,0.95
TRX-A9027,A-9027,2024-02-27T12:31:12Z,18.50,EUR,Europe,API,DECLINED,0.13
TRX-A9028,A-9028,2024-02-28T13:41:12Z,42000.00,USD,NorthAmerica,APP,OK,0.99
TRX-A9029,A-9029,2024-02-29T14:51:12Z,132.00,EUR,Europe,API,OK,0.26
TRX-A9030,A-9030,2024-03-01T15:01:12Z,19800.75,USD,NorthAmerica,APP,OK,0.94

